LogicalDesignator,ManufacturerPartNumber,Manufacturer,Note,PhysicalPath,FunctionalGroupTitle,ApprovedBy,DocumentNumberE3,FirstApply,Author,Organization,NormInspection,Title,CheckedBy
"C32","GRM188R72A104KA35","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C33","GRM32ER72A225KA35L","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C34","GRM32ER7YA106KA12L","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C35","GRM32ER7YA106KA12L","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"DA3","DRV8871","фирма "Texas Instruments"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"DA4","DRV8871","фирма "Texas Instruments"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"DA5","DRV8871","фирма "Texas Instruments"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"DA6","DRV8871","фирма "Texas Instruments"","Не уст.","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"DA7","MAX17504SATP+","фирма "Maxim"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"L1","IHLP-2525CZ-ER-4R7-M-01","фирма "Vishay"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R34","RC0603FR-070RL","фирма "Yageo"","Не уст.","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
